sample_id	unique_clones
110040277	2305
110040811	1920
110040851	2283
110040887	2203
110040958	1172
110040975	1303
110042592	2557
110042606	1949
110042713	1620
110042813	2469
110042935	2309
110044118	2708
110044155	2883
110044355	4046
110044376	1465
110044782	4101
110044786	1336
110044845	1498
110044978	2520
110046337	1882
110046617	1782
110046912	1800
222693519	2499
22301641N	2509
888174491	2027
888179544	1732
888214522	1549
888262983	1330
888286853	3258
888287118	6239
888313858	599
888333863	2278
888402542	3140
888407672	1412
888408987	1601
888436895	1830
888508776	1878
888559379	2162
888581247	1755
888624327	2316
888634432	2519
888640612	2033
888646440	2224
888647920	1256
888669369	1858
888696188	681
888703260	2558
888760853	2832
888777004	2042
888816126	2011
888921048	1606
888927334	1896
888943370	546
888945988	2329
888956204	2057
888976935	2152
888997753	1883
889005836	2167
889018176	1904
CE0005500	1641
CE0005604	1291
CE0005662	2209
CE0005779	1581
CE0005786	2619
CE0005802	1747
CE0005876	2994
CE0005988	1805
CE0006103	2321
CE0006205	1557
CE0006233	1681
CE0006371	1814
CE0006394	1922
CE0006435	1794
CE0006481	1709
CE0006524	2441
CE0006547	2215
CE0006623	2419
CE0006705	2460
CE0006781	2324
CE0006829	2170
CE0006943	3110
CE0007007	1923
CE0007070	2346
CE0007129	2426
CE0007408	3583
CE0007424	1335
CE0007624	2196
CE0007765	1921
CE0007769	1333
CE0007814	2347
CE0007821	1926
CE0007855	3214
CE0007865	2135
CE0007908	3058
CE0007925	2537
CE0008114	2234
CE0008202	2294
CE0008264	1911
CE0008375	1828
CE0008411	1633
CE0008484	2193
CE0008542	2444
CE0008593	1811
CE0008661	1339
CE0008682	1328
CE0008817	1946
CE0008924	2250
CE0009275	1858
CE0009991	1532
RG1083	868
RG1193	1235
RG1200	1696
RG1234	2439
RG1265	2377
RG1272	2378
RG1289	2882
RG1367	2575
RG1443	3537
RG1565	1868
RG1578	2190
RG1791	2023
RG1802	2556
RG1822	1553
RG1849	1857
RG1889	998
RG1895	1577
RG1936	2841
RG2037	2450
RG2105	2200
RG2115	1108
RG2118	3502
RG2155	2334
RG2195	1834
RG2207	2347
RG2251	2703
RG2284	1280
RG2350	3001
RG2459	2014
RG2512	2197
RG2617	1373
RG2674	2246
RG2685	1745
RG2838	2192
RG2903	2065
RG3105	2107
RG3309	1687
RG3355	3216
RG3444	2080
RG3549	2380
RG3556	1936
RG3578	2781
RG3666	1783
RG3758	2463
RG3783	2068
RG3844	1776
RG3945	1316
RG3948	1449
RG3956	2061
RG3987	2512
RG3995	2581
RG4094	2705
RG4543	1341
sample_id	0
SCT2601343	1891
SCT2794524	2033
SCT4168329	1879
SCT6222960	1015
SCT6338383	1823
SCT8789722	1775
SCT9160998	1843
